fid	municipality	d01_pop_pop_density_2000	d01_poplangue_p9b22_p00b22_cr_2000	d03_activiteprof_prop_actifs_2000	d0607_emplois_bxxvzas3_pct_2000
6001	Birgisch	39.3	0.9	45.1	17.2
6002	Brig-Glis	308	1.7	46.8	79.2
6004	Eggerberg	61.2	0.5	50.1	47.5
6006	Mund	14.3	0	48.9	18.3
6007	Naters	74.5	1.1	47.9	58.3
6008	Ried-Brig	33.6	1.5	49.2	43.9
6009	Simplon	3.68	1	52.5	31.1
6010	Termen	41.5	1.4	44.4	54.6
6011	Zwischbergen	0.91	1.3	39.7	69.3
6021	Ardon	110	81.4	47.3	45.2
6022	Chamoson	77.8	93.7	49.3	30
6023	Conthey	73.7	91.2	50.3	59.9
6024	Nendaz	62.8	93.8	49.3	50.9
6025	Vétroz	363	87.8	48.6	49.2
6031	Bagnes	23.3	87.3	53.8	59.6
6032	Bourg-St-Pierre	2.41	91.7	45.4	93.4
6033	Liddes	11	98.3	41.6	37.4
6034	Orsières	16.2	96.1	44.7	59.5
6035	Sembrancher	45	98.1	44	40
6036	Vollèges	73.8	97.9	42.6	51.3
6052	Bellwald	32	0.7	48.7	63
6054	Binn	2.43	1.3	47.5	71.1
6055	Blitzingen	8.54	0	52.5	67.7
6056	Ernen	15.6	0.5	48.2	52.7
6057	Fiesch	90.6	1	53.5	81.5
6058	Fieschertal	1.49	0.4	53.5	44.8
6061	Lax	56.1	0	56.9	59.8
6064	Niederwald	15.4	4.2	50	8.82
6073	Grafschaft	8.55	0.5	44.7	33.8
6074	Münster-Geschinen	10.8	1.1	47.5	56.7
6075	Reckingen-Gluringen	12.5	0.8	46	46.5
6076	Obergoms	4.39	0.3	51.6	55.3
6081	Les Agettes	54.4	92.9	52.6	30.6
6082	Ayent	54.8	93.5	51.4	57.7
6083	Evolène	7.32	96.5	50.2	52.1
6084	Hérémence	12.1	97.3	46.5	50
6087	St-Martin	24.6	98.8	45.5	39
6089	Vex	101	92.1	50.9	76.6
6090	Mont-Noble	17.2	92.6	47.4	55.6
6101	Agarn	99.3	1.3	46.1	45.1
6102	Albinen	17	1.1	45.7	64.2
6104	Ergisch	5.96	0	45.5	12.5
6105	Erschmatt	26.9	0.3	47	44.1
6109	Inden	9.45	3.3	52.2	66.7
6110	Leuk	77.2	1.7	48.5	60.8
6111	Leukerbad	21.3	4.9	60.7	92
6112	Oberems	2.51	0	46.8	29
6113	Salgesch	105	8.7	49.6	37.3
6114	Turtmann	24.1	0.8	46	39
6115	Unterems	136	0.6	42.3	70
6116	Varen	46.9	1.7	51.6	35.1
6117	Guttet-Feschel	39.6	1.2	41.4	39.7
6118	Gampel-Bratsch	73.7	1	49.7	38.5
6131	Bovernier	56.1	98	43.2	48.5
6132	Charrat	143	90	47.7	43.2
6133	Fully	148	91.8	48.8	37.4
6134	Isérables	60.2	99.8	50.9	21.3
6135	Leytron	80.4	92.6	51.9	57.7
6136	Martigny	578	85.1	50.5	71.5
6137	Martigny-Combe	46.2	93.4	50.8	63
6139	Riddes	93	88.3	48	51.8
6140	Saillon	111	89.8	51.9	53.4
6141	Saxon	144	85.7	47.6	60.5
6142	Trient	3.43	96	48.5	61.4
6151	Champéry	29	89.3	49.5	73.2
6152	Collombey-Muraz	193	89.7	51.5	42.1
6153	Monthey	486	85.1	49.2	51.1
6154	Port-Valais	158	80.5	45.8	64.4
6155	St-Gingolph	31.5	86.9	40.3	84.7
6156	Troistorrents	97.6	94.6	49.8	56
6157	Val d'Illiez	37.4	94.1	58	60.8
6158	Vionnaz	75	92.3	49.6	25.9
6159	Vouvry	88.7	86	47.4	44.3
6171	Betten	17.2	1	60.8	84.4
6172	Bister	6.03	0	45.7	0
6173	Bitsch	129	0.8	48.3	59.8
6177	Grengiols	8.29	0.8	43.7	32.8
6178	Martisberg	10.4	0	57.1	40
6181	Riederalp	28	0.7	53.3	87.2
6191	Ausserberg	42.5	0.5	45.7	34.2
6192	Blatten	3.14	0	46.8	52.8
6193	Bürchen	50.5	0.8	45.1	48.1
6194	Eischoll	35.6	0.4	39.8	42.6
6195	Ferden	10.4	1	51.6	46.4
6197	Kippel	31.5	0.8	52.2	88.8
6198	Niedergesteln	32.3	1.4	52.5	34.3
6199	Raron	55.3	2.1	49.4	37.4
6201	Unterbäch	19.5	0.7	46	53.8
6202	Wiler	32.9	0	52.3	62.8
6203	Mörel-Filet	79.7	1	46.8	69.8
6204	Steg-Hohtenn	114	0.4	51.1	35
6211	Collonges	40.2	91.4	48.7	27.7
6212	Dorénaz	48.7	96.1	46.2	59.5
6213	Evionnaz	18.7	90.8	47.9	20.6
6214	Finhaut	14.2	96.6	49.8	90.8
